id,node_id,status,assigned_to,lat,long,x,y
1,,9,1,45.081685333,-84.774548812,3.0648591357748955,0.7883963622152805
2,,9,1,45.081685376,-84.774544238,3.4247158284997568,0.8030793769285083
3,,9,1,45.081685419,-84.774539665,3.7844938164344057,0.8177602468058467
4,,9,1,45.081685462,-84.774535091,4.1443505071802065,0.8324433006346226
5,,9,1,45.081685505,-84.774530518,4.504128493950702,0.8471242114901543
6,,9,1,45.081685548,-84.774525944,4.863985184696503,0.8618073081597686
7,,1,1,45.081685591,-84.774521371,5.2237631703028455,0.876488259062171
8,,1,1,45.081685634,-84.774516797,5.583619858836755,0.8911713948473334
9,,1,1,45.081685677,-84.774512224,5.943397844326682,0.9058523867279291
10,,1,1,45.081685719,-84.77450765,6.303257588879205,0.9204244753345847
11,,1,1,45.081685762,-84.774503077,6.663035572390072,0.9351055072620511
12,,1,1,45.081685805,-84.774498503,7.0228922587120906,0.9497887259349227
13,,1,1,45.081685848,-84.77449393,7.382670242222957,0.964469799771905
14,,1,1,45.081685891,-84.774489356,7.742526927613653,0.9791530584916472
15,,1,1,45.081685934,-84.774484783,8.102304908796214,0.9938341714441776
16,,1,1,45.081685977,-84.774480209,8.462161593139172,1.0085174702107906
17,,1,1,45.08168602,-84.774475636,8.821939574205317,1.023198626935482
18,,1,1,45.081686063,-84.774471062,9.181796257384121,1.0378819666802883
19,,1,1,45.081686106,-84.774466489,9.541574236587621,1.0525631615892053
20,,1,1,45.081686149,-84.774461915,9.901430918718688,1.0672465432435274
21,,1,1,45.081686192,-84.774457342,10.261208897689357,1.081927778199315
22,,1,1,45.081686235,-84.774452768,10.621065578656271,1.096611201763153
23,,1,1,45.081686278,-84.774448195,10.980843555531465,1.1112924786284566
24,,1,1,45.081686321,-84.774443621,11.340700236614794,1.1259759413078427
25,,1,1,45.081686364,-84.774439048,11.700478212325834,1.140657258220017
26,,1,1,45.081686407,-84.774434474,12.060334891197272,1.1553407609462738
27,,1,1,45.08168645,-84.774429901,12.42011286597699,1.1700221197679639
28,,1,1,45.081686492,-84.774425327,12.779972601798363,1.1845945762470365
29,,1,1,45.081686535,-84.774420754,13.139750575530343,1.1992759760469198
30,,1,1,45.081686578,-84.77441618,13.499607252306305,1.2139595607295632
31,,1,1,45.081686621,-84.774411607,13.859385224874131,1.2286410005763173
32,,1,1,45.081686664,-84.774407033,14.219241901417263,1.243324626237154
33,,1,1,45.081686707,-84.77440246,14.579019872937351,1.2580061061307788
34,,1,1,45.08168675,-84.774397886,14.938876547385007,1.2726897718384862
35,,1,1,45.081686793,-84.774393313,15.298654518905096,1.287371295504272
36,,1,1,45.081686836,-84.774388739,15.658511192188598,1.3020550021901727
37,,1,1,45.081686879,-84.774384166,16.01828916161321,1.3167365631088614
38,,1,1,45.081686922,-84.774379592,16.378145833848976,1.331420311704278
39,,1,1,45.081686965,-84.774375019,16.737923803157173,1.34610191360116
40,,1,1,45.081687008,-84.774370445,17.0977804743452,1.3607857041060925
41,,1,1,45.081687051,-84.774365872,17.45755844155792,1.3754673469811678
42,,1,1,45.081687094,-84.774361298,17.81741511169821,1.3901511766016483
43,,1,1,45.081687137,-84.774356725,18.177193078794517,1.4048328613862395
44,,1,1,45.08168718,-84.774352151,18.537049747887067,1.4195167319849133
45,,1,1,45.081687223,-84.774347578,18.896827712887898,1.4341984558850527
46,,1,1,45.081687265,-84.774343004,19.256687438115478,1.4487712774425745
47,,1,1,45.081687308,-84.774338431,19.616465402999893,1.4634530441835523
48,,1,1,45.081687351,-84.774333857,19.976322069880553,1.4781369967386127
49,,1,1,45.081687394,-84.774329284,20.336100032669492,1.4928188025951385
50,,1,1,45.081687437,-84.77432471,20.695956699550152,1.5075027951970696
51,,1,1,45.081669762,-84.774548216,3.159366001957096,-0.9400763884186745
52,,1,1,45.081669813,-84.774543618,3.5210872124880552,-0.924452681094408
53,,1,1,45.081669865,-84.77453902,3.8828053643228486,-0.90871786698699
54,,1,1,45.081669916,-84.774534422,4.244526573456824,-0.8930941186845303
55,,1,1,45.081669968,-84.774529825,4.60616602061782,-0.8773614289239049
56,,1,1,45.081670019,-84.774525227,4.967887228471227,-0.8617376405745745
57,,1,1,45.081670071,-84.774520629,5.329605378676206,-0.8460027417168021
58,,1,1,45.081670122,-84.774516031,5.691326584317721,-0.830378913320601
59,,1,1,45.081670174,-84.774511433,6.053044733242132,-0.8146439734846354
60,,1,1,45.081670226,-84.774506835,6.414762880420312,-0.7989090140908957
61,,1,1,45.081670277,-84.774502238,6.776405381620862,-0.7832872895523906
62,,1,1,45.081670329,-84.77449764,7.138123527518474,-0.7675522891804576
63,,1,1,45.08167038,-84.774493042,7.499844730831683,-0.7519283564761281
64,,1,1,45.081670432,-84.774488444,7.861562875448726,-0.7361933141946793
65,,1,1,45.081670483,-84.774483846,8.223284077481367,-0.7205693414434791
66,,1,1,45.081670535,-84.774479248,8.585002220817842,-0.7048342572525144
67,,1,1,45.081670586,-84.774474651,8.94664471806027,-0.6892124088481069
68,,1,1,45.081670638,-84.774470053,9.308362861047499,-0.6734772846102715
69,,1,1,45.081670689,-84.774465455,9.67008405935485,-0.6578532289713621
70,,1,1,45.081670741,-84.774460857,10.03180220106151,-0.6421180637553334
71,,1,1,45.081670792,-84.774456259,10.393523398204707,-0.6264939662069082
72,,1,1,45.081670844,-84.774451661,10.755241538630798,-0.6107587600126863
73,,1,1,45.081670895,-84.774447064,11.116884030867368,-0.5951367868110538
74,,1,1,45.081670947,-84.774442466,11.478602170012891,-0.5794015387073159
